Sample	Reference_genome
Sample_10-2002_2055_M_ma_phasiana	Melinaea_marsaeus
Sample_11-2005_226_M_men_ssp_	Melinaea_menophilus
Sample_1-21676_H_a	Hypothyris_anastasia_honesta
Sample_12-2005_492_M_men_ssp_	Melinaea_menophilus
Sample_13-21N1340_H_a_honesta	Hypothyris_anastasia_honesta
Sample_14-E353_H_s_semifulva	Hypothyris_semifulva_satura
Sample_17-21800_H_s	Hypothyris_semifulva_satura
Sample_18-2002_2119_M_ma_rileyi	Melinaea_marsaeus
Sample_19-2005_227_M_men_ssp_	Melinaea_menophilus
Sample_20-2005_493_M_men_ssp_	Melinaea_menophilus
Sample_21-CAM028009_H_a_bicolora	Hypothyris_anastasia_honesta
Sample_2-2002_1942_M_ma_phasiana	Melinaea_marsaeus
Sample_22-E354_H_s_semifulva	Hypothyris_semifulva_satura
Sample_25-2002_107_M_ma_phasiana	Melinaea_marsaeus
Sample_26-2002_233_M_ma_rileyi	Melinaea_marsaeus
Sample_27-2005_228_M_men_ssp_	Melinaea_menophilus
Sample_28-2009_126_M_ma_rileyi	Melinaea_marsaeus
Sample_29-CAM028089_H_a_honesta	Hypothyris_anastasia_honesta
Sample_30-E448_H_a_honesta	Hypothyris_anastasia_honesta
Sample_3-2005_225_M_men_ssp_	Melinaea_menophilus
Sample_32-SM_11_113_H_a_honesta	Hypothyris_anastasia_honesta
Sample_33-2002_1281_H_a_anastasina	Hypothyris_anastasia_honesta
Sample_34-2002_234_M_ma_hybrid	Melinaea_marsaeus
Sample_35-2005_229_M_men_ssp_	Melinaea_menophilus
Sample_36-2009_157_M_m_phasiana	Melinaea_marsaeus
Sample_37-CAM028091_H_a_honesta	Hypothyris_anastasia_honesta
Sample_40-SM_11_51_H_a_honesta	Hypothyris_anastasia_honesta
Sample_41-2002_1348_M_m_phasiana	Melinaea_marsaeus
Sample_4-2005_491_M_men_ssp_	Melinaea_menophilus
Sample_42-2002_275_H_a_anastasina	Hypothyris_anastasia_honesta
Sample_43-2005_230_M_men_ssp_	Melinaea_menophilus
Sample_44-2009_158_M_ma_rileyi	Melinaea_marsaeus
Sample_48-SM_11_60_H_a_honesta	Hypothyris_anastasia_honesta
Sample_49-2002_1423_M_men_hybrid	Melinaea_menophilus
Sample_50-2002_348_M_mess_deceptus	Mechanitis_messenoides
Sample_51-2005_27_M_men_hicetas	Melinaea_menophilus
Sample_5-21N1331_H_a_bicolora	Hypothyris_anastasia_honesta
Sample_52-2009_239_M_ma_rileyi	Melinaea_marsaeus
Sample_53-E347_H_semifulva	Hypothyris_semifulva_satura
Sample_56-SM_11_64_H_a_honesta	Hypothyris_anastasia_honesta
Sample_57-2002_1424_M_men_hybrid	Melinaea_menophilus
Sample_58-2004_367_M_ma_phasiana	Melinaea_marsaeus
Sample_59-2005_339_M_men_hicetas	Melinaea_menophilus
Sample_60-2009_293_H_a_anastasina	Hypothyris_anastasia_honesta
Sample_61-E348_H_s_semifulva	Hypothyris_semifulva_satura
Sample_64-SM_11_80_H_a_honesta	Hypothyris_anastasia_honesta
Sample_65-2002_1886_M_men_hybrid	Melinaea_menophilus
Sample_66-2005_223_M_men_hybrid	Melinaea_menophilus
Sample_67-2005_489_M_men_ssp_	Melinaea_menophilus
Sample_68-21N1117_H_a_honesta	Hypothyris_anastasia_honesta
Sample_69-E349_H_s_semifulva	Hypothyris_semifulva_satura
Sample_6-E351_H_s_semifulva	Hypothyris_semifulva_satura
Sample_72-SM_11_81_H_a_honesta	Hypothyris_anastasia_honesta
Sample_73-2002_1895_M_mess_deceptus	Mechanitis_messenoides
Sample_81-MJ09_4061_nerudaFG	Heliconius_neruda
Sample_82-MJ09_4063_nerudaFG	Heliconius_neruda
Sample_83-MJ09_4088_demeterFG	Heliconius_demeter
Sample_84-MJ09_4089_demeterFG	Heliconius_demeter
Sample_85-MJ09_4158_demeterFG	Heliconius_demeter
Sample_86-21232_nerudaSur	Heliconius_neruda
Sample_87-14_65_demeterSur	Heliconius_demeter
Sample_88-14_97_nerudaSur	Heliconius_neruda
Sample_16-NR16_184_C_h_hydra	Chetone_histrio
Sample_24-NR16_185_C_h_histrio	Chetone_histrio
Sample_38-NR14_19_C_h_hydra	Chetone_histrio
Sample_39-NR15_619_C_h_hydra	Chetone_histrio
